run_id,date,commit,case,command,status,reason,superseded_by,geometry,Re,grid,cells,tau,Ma,steps,warmup,avg_Tft,collision,sgs,wall_model,walls,boundaries,sponge,forcing,metric,value,se,drift_1st,drift_2nd,reference,err_pct,wall_engaged,nut_les_nu_mean,nut_les_nu_max,max_u,wall_time_s,mlups,other,notes,backend,vram_fields_gb,vram_gpu_gb,vram_gpu_scope,rho_min,rho_max,hot_cells,hot_where
1,pre-log,pre-log,cylinder,(backfilled),reference,Phase 3 validation (DESIGN.md),,D-scaled cylinder,100,,,,,,,,TRT,none,,Bouzidi,,,,Cd,1.576,,,,1.4,12.6,,,,,,,St 0.165 (ref 0.16-0.18); later 1.520 at refactor A,~7-9% discretization floor,,,,,,,,
2,pre-log,pre-log,step,(backfilled),reference,Armaly BFS (DESIGN.md),,,101,,,,,,,,TRT,none,,staircase BB,,,,x_r/S,2.47,,,,3.0,-17.7,,,,,,,,uniform inlet; quantized x_r (since interpolated),,,,,,,,
3,pre-log,pre-log,channel,(backfilled),superseded,pre wall-node + sqrt2 fixes,5,delta=64 (Re_tau 180),180,120x130x60,936000,0.5048,0.14,600000,100000,,TRT,none (DNS),off,halfway BB,"periodic x,z / no-slip y walls",none,body force gx,U+ centerline,18.3,,,,18.3,0.0,,,,,,,u'rms 3.2 @ y+16; asym 1.4%,,,,,,,,,
4,pre-log,pre-log,ahmed,(backfilled),invalid,wall nodes collided (drag artifact); cs old convention,10,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,83520,41760,3.0,regularized,smag cs=0.1 (old conv.),log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,3.2454,,,,,,,,,,,,,"first-pass sweep; 30->3.2328, 35->3.2149, flat",,,,,,,,
5,2026-09-22,509c180,channel,(backfilled),good,law of wall holds after fixes,,delta=64 (Re_tau 180),180,120x130x60,936000,0.5048,0.14,600000,100000,,TRT (collide_full),none (DNS),off,halfway BB,"periodic x,z / no-slip y walls",none,body force gx,U+ centerline,18.49,,,,18.3,1.0,,,,0.0938,387,1451.2,u'rms 3.08 @ y+15.5; wall-shear -3.8%; asym 2.1%; wall-fn u_tau 0.00477,,cuda,,,,,,,
6,2026-09-22,509c180,ahmed,(backfilled),superseded,first post-fix Cd; no error bars,10,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,83520,41760,3.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.7396,,,,,,804,,,0.0882,687,1188.0,,Cd 3.245 -> 0.740 after wall-node fix,cuda,,,,,,,
7,2026-09-23,509c180+dirty,ahmed,(backfilled),bad,not stationary (drift 2.5 SE at phi=25),10,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,83520,41760,3.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.7396,0.0029,0.7419,0.7374,,,804,,,0.0882,681,1198.4,,sweep pass 2,cuda,,,,,,,
8,2026-09-23,509c180+dirty,ahmed,(backfilled),bad,drift ~4 SE (not converged),11,H=32 phi=30 round,30000,696x120x117,9771840,0.50016,0.087,83520,41760,3.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.7408,0.0027,0.7461,0.7356,,,797,,,0.0859,724,1127.3,,sweep pass 2,cuda,,,,,,,
9,2026-09-23,509c180+dirty,ahmed,(backfilled),bad,drift ~4 SE (not converged),12,H=32 phi=35 round,30000,696x120x117,9771840,0.50016,0.087,83520,41760,3.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.7482,0.0039,0.7563,0.7401,,,789,,,0.085,732,1115.0,,sweep pass 2,cuda,,,,,,,
10,2026-09-23,509c180+dirty,ahmed,(backfilled),good,converged; slant flat (unresolvable at H=32),,H=32 phi=25 round,30000,696x120x117,9771840,0.50016,0.087,153120,69600,6.0,regularized,smag cs=0.084,log-law y+>30,staircase BB,NEEM-open inlet / zero-grad outlet / free-slip z / no-slip floor+ceiling,none,none,Cd,0.7422,0.0016,0.7385,0.7463,,,811,,,0.0854,1235,1211.5,rerun bit-identical (1249 s); slant attached frac 0.09 @0.05U,sweep pass 3 (5+11 T_ft),cuda,,,,,,,
